IPE 80,80,46,5.2,3.8
IPE 100,100,55,5.7,4.1
IPE 120,120,64,6.3,4.4
IPE 140,140,73,6.9,4.7
IPE 160,160,82,7.4,5.0
IPE 180,180,91,8.0,5.3
IPE 200,200,100,8.5,5.6
IPE 220,220,110,9.2,5.9
IPE 240,240,120,9.8,6.2
IPE 270,270,135,10.2,6.6
IPE 300,300,150,10.7,7.1
IPE 330,330,160,11.5,7.5
IPE 360,360,170,12.7,8.0
IPE 400,400,180,13.5,8.6
IPE 450,450,190,14.6,9.4
IPE 500,500,200,16.0,10.2
IPE 550,550,210,17.2,11.1
IPE 600,600,220,19.0,12.0
IPE 750x137,753,263,17.0,11.5
IPE 750x147,753,265,17.0,13.2
IPE 750x173,762,267,21.6,14.4
IPE 750x196,770,268,25.4,15.6
IPE A 80,78,46,4.2,3.3
IPE A 100,98,55,4.7,3.6
IPE A 120,117.6,64,5.1,3.8
IPE A 140,137.4,73,5.6,3.8
IPE A 160,157,82,5.9,4.0
IPE A 180,177,91,6.5,4.3
IPE A 200,197,100,7.0,4.5
IPE A 220,217,110,7.7,5.0
IPE A 240,237,120,8.3,5.2
IPE A 270,267,135,8.7,5.5
IPE A 300,297,150,9.2,6.1
IPE A 330,327,160,10.0,6.5
IPE A 360,357.6,170,11.5,6.6
IPE A 400,397,180,12.0,7.0
IPE A 450,447,190,13.1,7.6
IPE A 500,497,200,14.5,8.4
IPE A 550,547,210,15.7,9.0
IPE A 600,597,220,17.5,9.8
IPE O 180,182,92,9.0,6.0
IPE O 200,202,102,9.5,6.2
IPE O 220,222,112,10.2,6.6
IPE O 240,242,122,10.8,7.0
IPE O 270,274,136,12.2,7.5
IPE O 300,304,152,12.7,8.0
IPE O 330,334,162,13.5,8.5
IPE O 360,364,172,14.7,9.2
IPE O 400,404,182,15.5,9.7
IPE O 450,456,192,17.6,11.0
IPE O 500,506,202,19.0,12.0
IPE O 550,556,212,20.2,12.7
IPE O 600,610,224,24.0,15.0
